"make","model","length","year","price","url"
"Bavaria","44 ft 1996 Bavaria 44","44","1996","112441","https://au.yachtworld.com/boats/1996/bavaria-44-2900049/"
"Bavaria","45 ft 2003 Bavaria 44","45","2003","112921","https://au.yachtworld.com/boats/2003/bavaria-44-2446348/"
"Bavaria","38 ft 1998 Bavaria 38 Ocean","38","1998","113156","https://au.yachtworld.com/boats/1998/bavaria-38-ocean-3535939/"
"Bavaria","40 ft 2004 Bavaria 38-3 Custom Line","40","2004","112350","https://au.yachtworld.com/boats/2004/bavaria-38-3-custom-line-3574094/"
"Bavaria","50 ft 2002 Bavaria 50 (VAT paid)","50","2002","113740","https://au.yachtworld.com/boats/2002/bavaria-50-vat-paid--2935709/"
"Bavaria","49 ft 2002 Bavaria 50","49","2002","113740","https://au.yachtworld.com/boats/2002/bavaria-50-3537900/"
"Bavaria","43 ft 2001 Bavaria 42-4","43","2001","113740","https://au.yachtworld.com/boats/2001/bavaria-42-4-3100432/"
"Bavaria","42 ft 2000 Bavaria 42 Cruiser","42","2000","113740","https://au.yachtworld.com/boats/2000/bavaria-42-cruiser-3248027/"
"Bavaria","38 ft 1997 Bavaria 38 Ocean","38","1997","114107","https://au.yachtworld.com/boats/1997/bavaria-38-ocean-3179443/"
"Bavaria","44 ft 2003 Bavaria 44","44","2003","114231","https://au.yachtworld.com/boats/2003/bavaria-44-3233597/"
"Bavaria","47 ft 2005 Bavaria Cruiser 46","47","2005","114558","https://au.yachtworld.com/boats/2005/bavaria-cruiser-46-3535853/"
"Bavaria","45 ft 2003 Bavaria 44","45","2003","114558","https://au.yachtworld.com/boats/2003/bavaria-44-3196202/"
"Bavaria","42 ft 2001 Bavaria 42","42","2001","114558","https://au.yachtworld.com/boats/2001/bavaria-42-2954559/"
"Bavaria","42 ft 2009 Bavaria 43 Cruiser","42","2009","114558","https://au.yachtworld.com/boats/2009/bavaria-43-cruiser-3096512/"
"Bavaria","40 ft 2004 Bavaria 38","40","2004","114558","https://au.yachtworld.com/boats/2004/bavaria-38-3086324/"
